Rank,Bib,FIS Code,Name,Year,Nation,Jump 1,Points 1,Jump 2,Points 2,Points,Podium
24,37,2067,AMMANN Simon ,2016,SUI ,129.5,89.1,123,88.7,177.8,No
25,17,5466,HAZETDINOV Ilmir ,2016,RUS ,133,89.6,119.5,85.1,174.7,No
26,30,5039,POPPINGER Manuel ,2016,AUT ,134,96.3,116.5,77.8,174.1,No
26,25,5298,KOT Maciej ,2016,POL ,133,93.6,122,80.5,174.1,No
28,15,6698,STEKALA Andrzej ,2016,POL ,133,91.4,118.5,82.4,173.8,No
29,45,5564,FREITAG Richard ,2016,GER ,134,105.9,111.5,66,171.9,No
30,8,6165,WOLNY Jakub ,2016,POL ,128.5,87.8,118,77.6,165.4,No
31,7,5429,ZIOBRO Jan ,2016,POL ,128.5,87.6,NA,NA,87.6,No
32,33,2928,FETTNER Manuel ,2016,AUT ,128,87.2,NA,NA,87.2,No
33,3,5924,EGLOFF Luca ,2016,SUI ,126,86.6,NA,NA,86.6,No
34,13,6084,ASCHENWALD Philipp ,2016,AUT ,128.5,84.8,NA,NA,84.8,No
35,27,3090,HLAVA Lukas ,2016,CZE ,127.5,84.1,NA,NA,84.1,No
36,16,5567,GEIGER Karl ,2016,GER ,124,83.5,NA,NA,83.5,No
37,47,5288,HAYBOECK Michael ,2016,AUT ,123.5,80.8,NA,NA,80.8,No
38,42,7091,PREVC Domen ,2016,SLO ,122,80.2,NA,NA,80.2,No
39,11,4580,OLLI Harri ,2016,FIN ,126,77.9,NA,NA,77.9,No
40,20,5723,LAMY CHAPPUIS Ronan ,2016,FRA ,124,77.4,NA,NA,77.4,No
41,19,6645,KLIMOV Evgeniy ,2016,RUS ,125,72.9,NA,NA,72.9,No
42,34,6437,LANISEK Anze ,2016,SLO ,120,72.5,NA,NA,72.5,No
43,2,2805,GLASDER Michael ,2016,USA ,120.5,72,NA,NA,72,No
44,23,5757,ASIKAINEN Lauri ,2016,FIN ,121.5,71.1,NA,NA,71.1,No
45,12,6679,BOYARINTSEV Vladislav ,2016,RUS ,122.5,66.2,NA,NA,66.2,No
46,1,5109,POGRAJC Andraz ,2016,SLO ,118,65.1,NA,NA,65.1,No
47,21,2918,KRANJEC Robert ,2016,SLO ,119,61.6,NA,NA,61.6,No
48,5,4599,ZHAPAROV Marat ,2016,KAZ ,114.5,61.4,NA,NA,61.4,No
49,10,3787,ZHAPAROV Radik ,2016,KAZ ,113,59.6,NA,NA,59.6,No
