"Rank","Bib","FIS.Code","Name","Year","Nation","Jump.1","Points.1","Jump.2","Points.2","Points"
5,43,2039,"MALYSZ Adam ",2010,"POL ",128,NA,130,NA,263.4
6,25,6296,"ZAUNER David ",2010,"AUT ",126.5,NA,126,NA,251
7,45,1995,"AHONEN Janne ",2010,"FIN ",128.5,NA,123.5,NA,249.6
8,44,2917,"ROMOEREN Bjoern Einar ",2010,"NOR ",124,NA,126.5,NA,248.9
9,39,2010,"UHRMANN Michael ",2010,"GER ",120.5,NA,128.5,NA,245.2
10,36,4226,"WANK Andreas ",2010,"GER ",122.5,NA,126,NA,244.8
11,32,1984,"JANDA Jakub ",2010,"CZE ",123.5,NA,123.5,NA,243.1
12,28,2062,"KUETTEL Andreas ",2010,"SUI ",124.5,NA,122,NA,238.2
13,48,4141,"KOFLER Andreas ",2010,"AUT ",126,NA,119.5,NA,237.9
14,15,5658,"PREVC Peter ",2010,"SLO ",118.5,NA,126.5,NA,235.5
15,26,4025,"DAMJAN Jernej ",2010,"SLO ",119,NA,125.5,NA,234.6
16,34,1972,"THURNBICHLER Stefan ",2010,"AUT ",119,NA,124.5,NA,233.8
17,37,5749,"EVENSEN Johan Remen ",2010,"NOR ",120,NA,122.5,NA,232.5
18,23,1991,"HAUTAMAEKI Matti ",2010,"FIN ",121,NA,120.5,NA,230.2
19,30,5038,"INNAUER Mario ",2010,"AUT ",125.5,NA,117,NA,229.5
20,41,2918,"KRANJEC Robert ",2010,"SLO ",121,NA,118.5,NA,225.1
21,38,2819,"CHEDAL Emmanuel ",2010,"FRA ",117,NA,122,NA,224.7
21,29,4186,"COLLOREDO Sebastian ",2010,"ITA ",122.5,NA,116.5,NA,224.7
23,20,2970,"KEITURI Kalle ",2010,"FIN ",117,NA,121.5,NA,223.8
24,21,4939,"MEZNAR Mitja ",2010,"SLO ",119,NA,119,NA,221.4
25,31,5141,"RUTKOWSKI Lukasz ",2010,"POL ",120,NA,117,NA,219.6
26,16,4197,"FREUND Severin ",2010,"GER ",116.5,NA,120,NA,219.2
27,33,4321,"STOCH Kamil ",2010,"POL ",117.5,NA,119,NA,218.7
28,5,4015,"HOCKE Stephan ",2010,"GER ",116,NA,115.5,NA,209.2
29,12,4322,"HULA Stefan ",2010,"POL ",116.5,NA,115,NA,208.2
30,40,4580,"OLLI Harri ",2010,"FIN ",122,NA,110,NA,208.1
31,24,3090,"HLAVA Lukas ",2010,"CZE ",115.5,NA,NA,NA,104.4
32,13,4880,"KORNILOV Denis ",2010,"RUS ",115,NA,NA,NA,103.5
33,14,3012,"HAPPONEN Janne ",2010,"FIN ",115.5,NA,NA,NA,103.4
34,19,4724,"MORASSI Andrea ",2010,"ITA ",115,NA,NA,NA,103
35,35,4593,"HAJEK Antonin ",2010,"CZE ",115.5,NA,NA,NA,102.9
36,17,2036,"BACHLEDA Marcin ",2010,"POL ",113.5,NA,NA,NA,100.8
37,42,2129,"BODMER Pascal ",2010,"GER ",114.5,NA,NA,NA,100.6
38,11,2934,"BARDAL Anders ",2010,"NOR ",112,NA,NA,NA,98.1
39,22,2009,"SPAETH Georg ",2010,"GER ",112.5,NA,NA,NA,97.5
40,1,5142,"KUBACKI Dawid ",2010,"POL ",112,NA,NA,NA,97.1
41,27,5302,"MIETUS Krzysztof ",2010,"POL ",112,NA,NA,NA,96.6
42,8,4748,"KARAULOV Ivan ",2010,"KAZ ",111,NA,NA,NA,94.3
43,7,4336,"BOSHCHUK Volodymyr ",2010,"UKR ",110.5,NA,NA,NA,93.9
44,9,4664,"ROSLIAKOV Ilja ",2010,"RUS ",110,NA,NA,NA,93
45,18,5174,"STJERNEN Andreas ",2010,"NOR ",110,NA,NA,NA,92.5
46,4,1905,"KOROLEV Alex ",2010,"KAZ ",109,NA,NA,NA,90.7
47,10,4922,"SHUMBARETS Vitaliy ",2010,"UKR ",109.5,NA,NA,NA,90.6
48,3,5301,"MIETUS Grzegorz ",2010,"POL ",107,NA,NA,NA,86.1
49,2,5745,"ZAPOTOCZNY Andrzej ",2010,"POL ",92.5,NA,NA,NA,54.5
